vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
11,33.33334,0,0,0,0,0,0,0,Random Vehicle
21,116.6667,32.73546,28.80666,37.61935,1,16.66667,0,0,Random Vehicle
33,166.6667,94.15044,72.329,84.93713,0,33.33334,0,0,Random Vehicle
4,200,192.3602,99.77374,130.4011,0,50,0,0,Random Vehicle
17,350,353.9409,351.7299,496.4961,1,50,0,0,Random Vehicle
38,366.6667,418.6947,270.7518,355.717,0,83.33334,0,0,Random Vehicle
6,499.9999,414.4495,347.1602,459.0854,0,100,0,0,Random Vehicle
19,499.9999,553.4408,175.6405,213.3215,2,100,0,0,Random Vehicle
28,583.3333,490.589,360.5921,509.9443,3,100,0,0,Random Vehicle
10,633.3334,1055.193,613.3552,786.0234,3,166.6667,0,0,Random Vehicle
27,816.2314,711.6627,613.0916,857.7606,1,83.33334,0,0,Random Vehicle
9,799.5647,1051.554,663.5227,823.1563,2,166.6667,0,0,Random Vehicle
1,749.5646,1444.054,784.8219,992.7831,1,150,0,0,Random Vehicle
32,849.5648,913.0545,655.3641,926.781,1,166.2312,0,0,Random Vehicle
8,932.8982,2233.733,1982.316,2154.402,1,66.66667,0,0,Random Vehicle
39,982.8983,872.4527,748.8633,874.9173,3,183.3334,0,0,Random Vehicle
22,982.8983,750.7606,544.0122,697.4628,3,200,0,0,Random Vehicle
36,1049.565,1138.128,649.7861,898.3864,1,199.5645,0,0,Random Vehicle
23,1032.898,1340.118,1060.211,1420.844,0,150,0,0,Random Vehicle
3,1066.232,1178.863,772.7285,1025.436,0,132.8978,0,0,Random Vehicle
13,1149.565,2007.932,1893.471,2156.015,1,250.0001,0,0,Random Vehicle
25,1299.564,1338.89,1168.329,1556.908,2,216.6667,0,0,Random Vehicle
12,1316.231,1494.312,1411.131,1707.093,2,266.6667,0,0,Random Vehicle
26,1349.564,1017.645,796.4112,1109.008,4,216.6667,0,0,Random Vehicle
16,1649.563,1245.705,1042.717,1409.801,1,100,0,0,Random Vehicle
24,1582.897,1530.289,845.6713,1178.135,1,333.3333,0,0,Random Vehicle
20,1632.897,1731.547,1275.138,1802.745,2,332.8978,0,0,Random Vehicle
14,1782.896,1520.934,1138.094,1431.43,3,400,0,0,Random Vehicle
7,1799.563,2340.9,816.8987,1154.663,0,350,0,0,Random Vehicle
18,2066.229,2120.867,1330.414,1829.714,1,166.6667,0,0,Random Vehicle
34,2032.896,1796.247,810.6714,1082.422,4,366.2311,0,0,Random Vehicle
2,2166.23,5881.829,5331.583,6508.643,2,166.6667,0,0,Random Vehicle
35,2049.563,2170.317,1521.243,2067.977,1,366.6667,0,0,Random Vehicle
29,2432.898,2600.851,1863.185,2503.245,0,266.6667,0,0,Random Vehicle
31,2499.455,5345.949,4337.236,4516.329,3,183.3334,0,0,Random Vehicle
37,2916.124,2906.043,2057.955,2791.476,1,233.3334,0,0,Random Vehicle
30,3466.127,3483.02,2754.048,3632.282,3,116.6667,0,0,Random Vehicle
15,4649.458,8395.811,4671.54,6119.859,1,283.2242,0,0,Random Vehicle
5,5149.453,7187.291,3376.858,4775.069,1,300,0,0,Random Vehicle
