vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
38,10.07439,227.1819,226.7848,307.7272,0,0,0,0,Random Vehicle
29,16.59624,340.5143,247.4253,348.4938,3,3.4119,0,0,Random Vehicle
56,16.69758,312.5165,304.2638,351.338,7,8.59869,0,0,Random Vehicle
17,19.82471,466.1033,307.8125,385.4429,1,1.535644,0,0,Random Vehicle
32,21.71684,437.7126,386.0341,415.7202,6,8.038289,0,0,Random Vehicle
8,24.16234,488.9936,299.4573,397.6063,3,2.430751,0,0,Random Vehicle
34,25.31263,415.1656,284.5336,378.279,6,8.33191,0,0,Random Vehicle
39,30.64597,506.2951,287.3419,397.6837,6,8.304841,0,0,Random Vehicle
59,30.64597,709.6246,696.6994,984.7375,0,0,0,0,Random Vehicle
28,95.98238,641.5201,320.1534,432.1133,3,31.99942,0,0,Random Vehicle
63,110.8109,591.1213,322.8728,361.4582,5,7.838545,0,0,Random Vehicle
4,127.4776,652.6513,308.4975,404.4923,4,24.83976,0,0,Random Vehicle
37,159.162,909.0519,776.8947,1056.035,3,43.4118,0,0,Random Vehicle
22,190.9761,1078.844,904.3137,1102.138,5,66.64034,0,0,Random Vehicle
49,190.9761,612.3223,440.5868,589.9122,4,25.17056,0,0,Random Vehicle
61,190.9761,1078.348,1060.261,1496.684,0,0,0,0,Random Vehicle
45,206.9518,666.7475,444.326,619.3987,5,15.22782,0,0,Random Vehicle
62,206.9518,1016.635,785.8781,931.5499,6,65.81013,0,0,Random Vehicle
33,223.6185,999.9697,663.7682,932.559,5,19.82714,0,0,Random Vehicle
18,305.1635,710.0789,399.7893,461.2056,7,62.09106,0,0,Random Vehicle
16,321.8302,845.9832,524.9357,690.1531,5,53.4025,0,0,Random Vehicle
31,355.1635,913.4891,764.756,840.3167,4,107.9559,0,0,Random Vehicle
36,354.3269,1384.667,770.3018,997.4486,4,72.02591,0,0,Random Vehicle
60,355.1635,962.874,745.7957,777.364,4,115.206,0,0,Random Vehicle
52,387.5337,1115.632,388.1508,536.9941,5,44.88302,0,0,Random Vehicle
20,403.291,855.1494,629.0659,649.967,6,59.25122,0,0,Random Vehicle
11,419.9576,867.2211,641.2324,902.9858,3,52.87046,0,0,Random Vehicle
26,452.5953,555.5381,418.0916,590.2141,5,78.9873,0,0,Random Vehicle
50,517.1434,967.6102,745.8088,1052.081,2,65.0798,0,0,Random Vehicle
30,533.8101,975.977,790.9634,885.8661,4,103.7925,0,0,Random Vehicle
9,599.3845,842.817,286.9432,332.9202,4,79.86652,0,0,Random Vehicle
46,649.1959,1115.488,714.1281,955.5347,6,104.3124,0,0,Random Vehicle
55,647.6926,1314.111,766.6899,1067.598,1,90.17921,0,0,Random Vehicle
43,748.8627,1283.527,694.4092,973.53,3,121.5196,0,0,Random Vehicle
21,765.8627,1417.514,910.1927,1287.09,5,116.2796,0,0,Random Vehicle
54,765.8627,1025.209,904.5652,1214.855,6,91.30882,0,0,Random Vehicle
25,782.5294,1381.137,508.8302,633.3588,4,119.6902,0,0,Random Vehicle
35,815.8627,982.7403,550.5081,769.7898,6,120.4564,0,0,Random Vehicle
41,879.8442,1420.846,824.8751,1162.771,5,93.08284,0,0,Random Vehicle
48,898.0141,1387.269,691.2581,943.3198,3,132.9673,0,0,Random Vehicle
57,914.6808,1660.473,490.5632,537.0516,4,163.6678,0,0,Random Vehicle
24,930.5109,1387.072,278.1867,382.7697,2,149.7647,0,0,Random Vehicle
1,964.528,1370.854,539.2533,714.205,5,116.53,0,0,Random Vehicle
2,981.1947,1412.011,474.5034,643.2228,6,123.1271,0,0,Random Vehicle
27,1014.52,1629.687,1132.928,1596.682,1,241.8317,0,0,Random Vehicle
7,1047.588,1108.845,1027.915,1114.588,3,67.85421,0,0,Random Vehicle
10,1047.254,1467.692,999.5103,1380.103,6,144.5693,0,0,Random Vehicle
42,1047.588,1187.72,502.3533,710.4231,6,121.6854,0,0,Random Vehicle
53,1114.254,1438.215,1046.865,1205.412,6,156.679,0,0,Random Vehicle
14,1180.092,1710.953,560.1917,782.2133,6,131.9031,0,0,Random Vehicle
40,1377.706,2653.909,2465.748,3293.238,3,18.40146,0,0,Random Vehicle
51,1475.885,2946.908,1069.374,1327.63,4,103.9402,0,0,Random Vehicle
13,1592.767,1688.46,1068.731,1505.217,5,176.7834,0,0,Random Vehicle
19,1808.417,2959.364,2762.303,3674.199,2,83.2581,0,0,Random Vehicle
3,1856.662,3060.04,1381.434,1507.486,1,197.7972,0,0,Random Vehicle
58,1873.329,2608.223,979.0675,1377.961,2,148.1923,0,0,Random Vehicle
5,1956.996,1993.377,1501.455,2111.775,5,172.9676,0,0,Random Vehicle
15,2237.286,3784.282,1884.449,2130.155,1,200,0,0,Random Vehicle
23,2319.261,4364.678,2652.836,3537.164,7,140.7518,0,0,Random Vehicle
