vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
8,59.61623,169.4016,100.6542,103.2026,1,16.25935,0,0,Random Vehicle
32,68.05051,237.5462,236.5493,237.8097,0,7.591515,0,0,Random Vehicle
18,79.44051,268.8568,61.27245,62.30463,0,24.1753,0,0,Random Vehicle
6,154.653,153.4923,142.0255,161.5341,0,0,0,0,Random Vehicle
12,250.709,404.9681,388.6837,482.6195,0,0,0,0,Random Vehicle
14,310.8414,676.2924,487.9239,672.2462,1,46.24479,0,0,Random Vehicle
25,327.4819,474.7337,191.5678,246.2619,1,68.61079,0,0,Random Vehicle
5,409.7537,697.8444,305.4046,428.5125,0,85.67239,0,0,Random Vehicle
9,461.3252,799.298,414.4103,569.6913,1,118.0925,0,0,Random Vehicle
20,508.6054,891.7282,503.1978,623.4573,0,61.14845,0,0,Random Vehicle
19,589.7069,1478.521,1452.135,2041.127,0,0,0,0,Random Vehicle
3,678.3912,732.8911,518.3301,651.4734,1,117.5609,0,0,Random Vehicle
10,719.4502,1224.073,716.7874,803.056,0,73.38396,0,0,Random Vehicle
26,743.5304,969.0321,685.427,947.0253,1,174.9938,0,0,Random Vehicle
17,752.388,1023.519,931.5549,1124.991,1,98.00658,0,0,Random Vehicle
2,802.5574,1366.054,828.448,834.8619,0,75.2466,0,0,Random Vehicle
23,827.7767,1179.922,1011.833,1211.653,0,165.0948,0,0,Random Vehicle
24,841.2339,986.3272,682.8054,698.5366,1,121.0948,0,0,Random Vehicle
29,913.4785,973.4553,800.2432,865.7997,2,105.279,0,0,Random Vehicle
28,927.379,1343.358,562.613,693.5397,0,126.901,0,0,Random Vehicle
27,1195.242,1272.264,942.0214,1319.8,2,184.4547,0,0,Random Vehicle
13,1227.985,1802.96,406.2115,452.1094,1,138.1651,0,0,Random Vehicle
22,1264.201,1202.518,887.5535,1253.479,2,59.19118,0,0,Random Vehicle
4,1350.644,1669.078,1225.913,1730.334,3,165.2549,0,0,Random Vehicle
15,1384.281,2418.617,2246.372,3038.425,2,68.17221,0,0,Random Vehicle
30,1430.851,1789.382,1649.412,2229.898,3,178.9401,0,0,Random Vehicle
1,1667.524,3684.14,2783.792,3728.152,1,101.0564,0,0,Random Vehicle
21,1682.124,2803.07,2154.124,2771.662,3,88.35736,0,0,Random Vehicle
16,1726.646,3382.733,1759.485,2043.777,1,127.8241,0,0,Random Vehicle
31,1872.933,2740.243,2435.735,3403.644,2,67.45715,0,0,Random Vehicle
11,1909.832,3008.756,940.5195,1293.847,1,199.4804,0,0,Random Vehicle
