vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
41,100,81.71439,81.44978,90.3349,0,0,0,0,Random Vehicle
31,300,405.516,330.6842,465.1653,0,83.33334,0,0,Random Vehicle
34,383.3333,453.8627,397.0441,441.3499,1,66.66667,0,0,Random Vehicle
15,416.6666,132.5448,115.0229,150.0868,3,50,0,0,Random Vehicle
38,449.9999,406.219,340.8542,433.4092,1,116.6667,0,0,Random Vehicle
51,466.6666,500.3684,369.1539,517.0841,0,50,0,0,Random Vehicle
62,449.9999,707.181,413.109,472.5641,1,83.33334,0,0,Random Vehicle
36,549.9999,324.0252,313.6797,351.1721,3,100,0,0,Random Vehicle
72,533.3333,483.6313,365.4181,366.6399,0,50,0,0,Random Vehicle
42,633.3334,441.6566,344.4095,455.3156,3,100,0,0,Random Vehicle
17,666.6667,1134.593,802.9413,993.1227,2,133.3334,0,0,Random Vehicle
54,733.3335,2514.707,2433.38,3051.108,0,0,0,0,Random Vehicle
20,766.6669,668.6253,498.7322,604.305,2,166.6667,0,0,Random Vehicle
67,716.6668,868.5236,656.6363,784.8379,1,166.6667,0,0,Random Vehicle
33,766.6669,894.0554,571.7783,625.7448,0,133.3334,0,0,Random Vehicle
21,800.0002,516.3368,475.0772,552.3602,4,116.6667,0,0,Random Vehicle
25,816.6669,628.9457,387.8945,488.6525,1,133.3334,0,0,Random Vehicle
71,816.6669,1342.713,412.3522,538.6224,1,233.3334,0,0,Random Vehicle
3,883.3337,401.5277,311.5019,326.5125,4,100,0,0,Random Vehicle
35,866.667,1025.497,897.3658,971.2444,0,200,0,0,Random Vehicle
76,900.0004,1267.701,763.83,1058.512,4,166.6667,0,0,Random Vehicle
8,966.6671,1550.713,927.65,1123.332,0,233.3334,0,0,Random Vehicle
50,966.6671,1362.998,1167.82,1611.458,0,216.6667,0,0,Random Vehicle
7,1116.667,1013.658,801.3374,987.226,2,250.0001,0,0,Random Vehicle
69,1066.667,1207.708,772.485,1092.207,0,250.0001,0,0,Random Vehicle
43,1133.334,1158.313,1027.447,1398.855,2,233.3334,0,0,Random Vehicle
2,1216.667,1466.216,1164.243,1628.951,4,233.3334,0,0,Random Vehicle
