vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
38,218.2905,227.1819,226.7848,307.7272,0,0,0,0,Random Vehicle
17,309.4729,466.1033,307.8125,385.4429,0,16.3588,0,0,Random Vehicle
56,323.6878,312.5165,304.2638,351.338,1,104.2628,0,0,Random Vehicle
29,400.6866,340.5143,247.4253,348.4938,0,43.62837,0,0,Random Vehicle
39,400.6866,506.2951,287.3419,397.6837,0,100,0,0,Random Vehicle
59,431.09,709.6246,696.6994,984.7375,0,0,0,0,Random Vehicle
8,462.4282,488.9936,299.4573,397.6063,0,44.19841,0,0,Random Vehicle
28,462.4282,641.5201,320.1534,432.1133,0,100,0,0,Random Vehicle
34,493.9502,415.1656,284.5336,378.279,0,116.6667,0,0,Random Vehicle
61,587.4559,1078.348,1060.261,1496.684,0,0,0,0,Random Vehicle
63,601.9714,591.1213,322.8728,361.4582,1,74.49413,0,0,Random Vehicle
49,618.6381,571.9526,440.5868,589.9122,0,83.33334,0,0,Random Vehicle
22,649.5472,1078.844,904.3137,1102.138,0,150,0,0,Random Vehicle
16,680.4975,845.9832,524.9357,690.1531,0,133.3334,0,0,Random Vehicle
62,680.4975,1016.635,785.8781,931.5499,0,166.6667,0,0,Random Vehicle
4,711.6904,652.6513,308.4975,404.4923,0,100,0,0,Random Vehicle
36,773.5226,1384.667,770.3018,997.4486,0,150,0,0,Random Vehicle
44,789.6735,1052.801,763.6823,1078.594,1,179.8898,0,0,Random Vehicle
31,837.9459,913.4891,764.756,840.3167,0,166.6667,0,0,Random Vehicle
20,901.1465,855.1494,629.0659,649.967,0,166.6667,0,0,Random Vehicle
50,901.1465,1123.609,745.8088,1052.081,1,166.6667,0,0,Random Vehicle
30,993.7637,975.977,790.9634,885.8661,0,166.6667,0,0,Random Vehicle
55,993.7637,1314.111,766.6899,1067.598,0,116.6667,0,0,Random Vehicle
60,993.7637,962.874,745.7957,777.364,2,200,0,0,Random Vehicle
52,1010.43,1115.632,388.1508,536.9941,1,117.4243,0,0,Random Vehicle
35,1042.842,982.7403,550.5081,769.7898,1,189.808,0,0,Random Vehicle
9,1090.836,842.817,286.9432,332.9202,0,132.1244,0,0,Random Vehicle
46,1106.344,1115.488,714.1281,955.5347,3,178.01,0,0,Random Vehicle
47,1171.12,880.2366,710.9752,796.577,2,80.09102,0,0,Random Vehicle
43,1187.786,1283.527,694.4092,973.53,0,166.6667,0,0,Random Vehicle
7,1220.053,1108.845,1027.915,1114.588,2,83.33334,0,0,Random Vehicle
41,1220.053,1420.846,824.8751,1162.771,0,166.6667,0,0,Random Vehicle
42,1283.656,1187.72,502.3533,710.4231,1,200,0,0,Random Vehicle
48,1315.153,1387.269,691.2581,943.3198,0,200,0,0,Random Vehicle
24,1345.841,1387.072,278.1867,382.7697,0,200,0,0,Random Vehicle
1,1361.04,1370.854,539.2533,714.205,1,181.6902,0,0,Random Vehicle
25,1377.706,1381.137,508.8302,633.3588,0,183.3334,0,0,Random Vehicle
57,1377.706,1660.473,490.5632,537.0516,0,233.3334,0,0,Random Vehicle
2,1426.483,1412.011,474.5034,643.2228,1,206.9656,0,0,Random Vehicle
14,1570.786,1710.953,560.1917,782.2133,0,233.3334,0,0,Random Vehicle
53,1570.786,1399.833,1046.865,1205.412,1,283.3334,0,0,Random Vehicle
10,1587.452,1429.311,999.5103,1380.103,1,280.9322,0,0,Random Vehicle
13,1669.896,1726.809,1068.731,1505.217,1,266.6667,0,0,Random Vehicle
64,1686.563,1446.784,856.9858,1196.287,4,189.3846,0,0,Random Vehicle
27,1751.518,1629.687,1132.928,1596.682,1,253.0198,0,0,Random Vehicle
51,1932.59,2946.908,1069.374,1327.63,0,166.6667,0,0,Random Vehicle
40,1949.257,2653.909,2465.748,3293.238,1,60.21829,0,0,Random Vehicle
3,2161.085,3060.04,1381.434,1507.486,1,200,0,0,Random Vehicle
5,2357.003,1954.996,1501.455,2111.775,1,283.3334,0,0,Random Vehicle
15,2597.306,3863.098,1884.449,2130.155,1,208.0908,0,0,Random Vehicle
23,2646.194,4364.678,2652.836,3537.164,1,250.0001,0,0,Random Vehicle
