vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
17,75.35985,133.6225,133.4853,179.8615,0,0,0,0,Random Vehicle
20,216.2441,7.166701,7.166701,9.90802,1,8.435989,0,0,Random Vehicle
5,251.3849,192.903,123.0321,172.9848,1,77.80624,0,0,Random Vehicle
19,524.251,863.2607,382.6672,527.5302,1,62.92274,0,0,Random Vehicle
14,546.8808,1163.942,703.0146,920.7844,1,117.145,0,0,Random Vehicle
4,582.4179,1883.705,1281.754,1553.946,0,104.7267,0,0,Random Vehicle
12,617.9261,672.7894,474.3343,663.0595,1,128.9274,0,0,Random Vehicle
26,617.9261,199.4896,185.645,253.7938,4,63.03118,0,0,Random Vehicle
22,639.4282,717.9745,390.2274,468.9501,1,61.90968,0,0,Random Vehicle
13,691.074,1296.854,1085.641,1390.051,0,165.7305,0,0,Random Vehicle
11,699.6702,862.9319,601.647,775.5787,2,70.79778,0,0,Random Vehicle
27,712.0242,341.8095,313.755,421.0273,4,97.03786,0,0,Random Vehicle
29,751.0117,2116.362,1567.975,2021.972,0,125.113,0,0,Random Vehicle
18,791.743,850.0131,733.7916,818.2613,2,138.9232,0,0,Random Vehicle
7,818.1012,1194.289,548.6618,602.624,2,157.9872,0,0,Random Vehicle
8,828.215,1019.476,942.9014,1272.597,2,22.62387,0,0,Random Vehicle
30,861.5627,1171.758,435.4088,611.7267,2,74.34146,0,0,Random Vehicle
23,904.9749,3119.548,2892.097,3088.804,1,47.75324,0,0,Random Vehicle
1,923.0717,2661.276,2415.565,2673.765,1,69.20567,0,0,Random Vehicle
16,923.0717,1149.93,623.8068,625.7551,2,50.75116,0,0,Random Vehicle
6,980.5661,1197.336,436.8608,552.8102,3,72.09146,0,0,Random Vehicle
15,990.1656,2936.843,2178.302,2964.593,0,111.931,0,0,Random Vehicle
28,1039.17,928.1166,759.2561,1003.535,1,34.06834,0,0,Random Vehicle
24,1051.958,4682.8,3836.772,4683.495,0,60.96751,0,0,Random Vehicle
25,1096.677,3669.979,2657.55,3349.75,0,91.49925,0,0,Random Vehicle
10,1355.125,5175.235,4544.151,5213.2,2,70.92315,0,0,Random Vehicle
9,1383.212,951.0577,755.7755,1041.027,7,104.7227,0,0,Random Vehicle
3,1451.585,1151.698,942.3192,1248.479,4,74.45474,0,0,Random Vehicle
2,1534.877,1838.515,1180.952,1305.532,8,161.9951,0,0,Random Vehicle
