vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
17,294.0662,566.1568,307.8125,385.4429,2,16.66667,0,0,Random Vehicle
38,325.0684,345.2687,226.7848,307.7272,0,0,0,0,Random Vehicle
8,383.7469,488.9936,299.4573,397.6063,7,50,0,0,Random Vehicle
34,1645.361,1482.776,284.5336,378.279,28,433.3333,0,0,Random Vehicle
63,1661.123,2100.096,322.8728,361.4582,18,214.9999,0,0,Random Vehicle
47,3123.152,2333.167,710.9752,796.577,8,100,0,0,Random Vehicle
6,5456.204,4853.327,822.6293,1161.633,35,350,0,0,Random Vehicle
30,5616.821,6092.185,790.9634,885.8661,84,965.3076,0,0,Random Vehicle
52,7354.521,6217.186,388.1508,536.9941,111,1450,0,0,Random Vehicle
36,8091.467,9724.699,770.3018,997.4486,94,1064.733,0,0,Random Vehicle
53,8220.979,7437.605,1046.865,1205.412,79,879.4119,0,0,Random Vehicle
24,8349.919,10958.23,278.1867,382.7697,103,1261.343,0,0,Random Vehicle
11,8552.625,9947.312,641.2324,902.9858,105,1305.65,0,0,Random Vehicle
28,8715.038,13815.77,320.1534,432.1133,98,1114.865,0,0,Random Vehicle
26,10090.72,14420.33,418.0916,590.2141,103,1215.732,0,0,Random Vehicle
44,11559.26,9060.069,763.6823,1078.594,33,340.4112,0,0,Random Vehicle
39,14215.28,22106.71,287.3419,397.6837,117,1082.396,0,0,Random Vehicle
62,14970.76,17955.6,785.8781,931.5499,168,1810.378,0,0,Random Vehicle
60,15049.56,26261.65,745.7957,777.364,84,870.9335,0,0,Random Vehicle
25,16390.47,16387.76,508.8302,633.3588,210,1945.996,0,0,Random Vehicle
1,16908.13,16080.37,539.2533,714.205,270,3045.123,0,0,Random Vehicle
48,17845.56,15825.21,691.2581,943.3198,299,3879.317,0,0,Random Vehicle
57,18509.83,20118.44,490.5632,537.0516,237,2557.237,0,0,Random Vehicle
37,18717.33,26829.66,776.8947,1056.035,222,2634.906,0,0,Random Vehicle
35,20144.58,19349.15,550.5081,769.7898,242,2765.748,0,0,Random Vehicle
14,20292.91,18109.19,560.1917,782.2133,301,3472.323,0,0,Random Vehicle
41,22648.01,29371.43,824.8751,1162.771,109,1143.128,0,0,Random Vehicle
18,23056.83,23304.65,399.7893,461.2056,369,4257.493,0,0,Random Vehicle
10,24602.48,32502.17,999.5103,1380.103,297,3444.096,0,0,Random Vehicle
9,28699.83,35394.9,286.9432,332.9202,422,4213.936,0,0,Random Vehicle
2,29973.05,29572.25,474.5034,643.2228,521,5651.055,0,0,Random Vehicle
54,30061.1,37674.15,904.5652,1214.855,401,3925.099,0,0,Random Vehicle
23,34365.65,35754.71,2652.836,3537.164,555,5825.289,0,0,Random Vehicle
56,35741.99,46119.8,304.2638,351.338,479,4674.167,0,0,Random Vehicle
29,37634.63,53314.68,247.4253,348.4938,445,3832.077,0,0,Random Vehicle
55,38766.04,44680.47,766.6899,1067.598,590,5775.369,0,0,Random Vehicle
13,49897.44,66934.62,1068.731,1505.217,793,7140.099,0,0,Random Vehicle
12,52092.62,63606.37,1246.981,1671.109,914,7539.538,0,0,Random Vehicle
45,53080.35,66582.41,444.326,619.3987,772,7519.574,0,0,Random Vehicle
49,58080.21,71496.49,440.5868,589.9122,1101,9696.799,0,0,Random Vehicle
43,63651.09,84463.41,694.4092,973.53,1059,9365.222,0,0,Random Vehicle
58,65712.06,84644.13,979.0675,1377.961,1160,9275.006,0,0,Random Vehicle
5,73373.05,103408.6,1501.455,2111.775,1385,11420.21,0,0,Random Vehicle
3,87700.7,124791.4,1381.434,1507.486,1302,10312.21,0,0,Random Vehicle
31,88385.43,135170.4,764.756,840.3167,1415,10392.04,0,0,Random Vehicle
4,97728.34,142873.8,308.4975,404.4923,1685,12827.8,0,0,Random Vehicle
7,98849.23,149461.6,1027.915,1114.588,1799,13806.96,0,0,Random Vehicle
32,112744.3,187974.6,386.0341,415.7202,1690,12083.9,0,0,Random Vehicle
42,118143.3,158757.6,502.3533,710.4231,1847,12915.38,0,0,Random Vehicle
