vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
4,1054.426,2645.577,1281.754,1553.946,27,231.6016,0,0,Random Vehicle
11,1081.217,939.5391,601.647,775.5787,17,104.2483,0,0,Random Vehicle
26,1145.55,975.0441,185.645,253.7938,37,150.3891,0,0,Random Vehicle
23,1828.623,4185.429,2892.097,3088.804,42,246.7382,0,0,Random Vehicle
28,2334.721,2829.034,759.2561,1003.535,52,283.6659,0,0,Random Vehicle
15,3373.1,4184.545,2178.302,2964.593,52,290.1169,0,0,Random Vehicle
24,3634.312,10878.73,3836.772,4683.495,76,398.7475,0,0,Random Vehicle
9,4557.968,13660.28,755.7755,1041.027,96,409.5883,0,0,Random Vehicle
6,4892.771,6828.776,436.8608,552.8102,131,713.0073,0,0,Random Vehicle
12,7926.132,11726.19,474.3343,663.0595,181,1056.47,0,0,Random Vehicle
25,8017.432,22043.96,2657.55,3349.75,146,904.2663,0,0,Random Vehicle
1,9277.842,13579.66,2415.565,2673.765,258,1196.84,0,0,Random Vehicle
2,11705.84,22714.17,1180.952,1305.532,276,1066.343,0,0,Random Vehicle
13,13911,34546.44,1085.641,1390.051,311,885.4097,0,0,Random Vehicle
29,15569.11,29172.75,1567.975,2021.972,453,1920.743,0,0,Random Vehicle
17,19917.89,35739.45,133.4853,179.8615,644,1664.776,0,0,Random Vehicle
5,22013.63,44745.2,123.0321,172.9848,630,1282.787,0,0,Random Vehicle
7,25253.5,46728.11,548.6618,602.624,986,2370.372,0,0,Random Vehicle
19,30916.67,92283.59,382.6672,527.5302,1099,2900.388,0,0,Random Vehicle
