vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
41,100,81.71439,81.44978,90.3349,0,0,0,0,Random Vehicle
31,300,405.516,330.6842,465.1653,0,83.33334,0,0,Random Vehicle
34,383.3333,453.8627,397.0441,441.3499,1,66.66667,0,0,Random Vehicle
38,449.9999,406.219,340.8542,433.4092,1,116.6667,0,0,Random Vehicle
62,449.9999,707.181,413.109,472.5641,1,83.33334,0,0,Random Vehicle
51,466.6666,500.3684,369.1539,517.0841,0,50,0,0,Random Vehicle
15,483.3333,132.5448,115.0229,150.0868,3,50,0,0,Random Vehicle
72,533.3333,483.6313,365.4181,366.6399,0,50,0,0,Random Vehicle
36,549.9999,324.0252,313.6797,351.1721,3,100,0,0,Random Vehicle
77,716.6668,893.3022,525.7406,692.6335,1,133.3334,0,0,Random Vehicle
42,733.3335,441.6566,344.4095,455.3156,3,100,0,0,Random Vehicle
54,733.3335,2514.707,2433.38,3051.108,0,0,0,0,Random Vehicle
33,766.6669,894.0554,571.7783,625.7448,0,133.3334,0,0,Random Vehicle
17,783.3336,1134.593,802.9413,993.1227,2,133.3334,0,0,Random Vehicle
21,816.6669,516.3368,475.0772,552.3602,4,116.6667,0,0,Random Vehicle
25,816.6669,628.9457,387.8945,488.6525,1,133.3334,0,0,Random Vehicle
20,833.3336,667.582,498.7322,604.305,2,133.3334,0,0,Random Vehicle
3,866.667,401.5277,311.5019,326.5125,4,100,0,0,Random Vehicle
69,833.3336,1175.526,772.485,1092.207,0,200,0,0,Random Vehicle
67,883.3337,862.0087,656.6363,784.8379,1,200,0,0,Random Vehicle
76,900.0004,1267.701,763.83,1058.512,4,166.6667,0,0,Random Vehicle
35,1000,1046.959,897.3658,971.2444,0,200,0,0,Random Vehicle
50,966.6671,1362.998,1167.82,1611.458,0,216.6667,0,0,Random Vehicle
8,966.6671,1550.713,927.65,1123.332,0,233.3334,0,0,Random Vehicle
32,1100,2798.976,2263.325,2600.984,2,100,0,0,Random Vehicle
43,1133.334,1158.313,1027.447,1398.855,2,233.3334,0,0,Random Vehicle
46,1150,1395.427,971.8936,1264.942,3,200,0,0,Random Vehicle
2,1216.667,1466.216,1164.243,1628.951,4,233.3334,0,0,Random Vehicle
58,1283.333,923.3627,476.3087,639.1891,3,183.3334,0,0,Random Vehicle
7,1300,972.0676,801.3374,987.226,2,166.6667,0,0,Random Vehicle
14,1283.333,2024.511,1507.01,1876.657,3,116.6667,0,0,Random Vehicle
37,1350,1592.044,1102.328,1540.424,4,283.3334,0,0,Random Vehicle
19,1350,1442.449,1219.862,1710.954,3,266.6667,0,0,Random Vehicle
74,1499.999,1333.092,1049.365,1344.873,6,283.3334,0,0,Random Vehicle
56,1483.333,1619.238,1039.461,1079.816,5,283.3334,0,0,Random Vehicle
23,1483.333,3238.88,2821.898,3632.872,3,300,0,0,Random Vehicle
12,1599.999,1234.563,1047.111,1411.418,0,100,0,0,Random Vehicle
66,1599.999,1645.929,1049.008,1372.018,4,283.3334,0,0,Random Vehicle
1,1699.999,1369.339,852.2725,1195.567,4,250.0001,0,0,Random Vehicle
49,1749.999,1778.789,1324.202,1688.249,1,283.3334,0,0,Random Vehicle
13,1883.332,1850.452,957.0163,1104.876,1,300,0,0,Random Vehicle
59,1883.332,1887.908,1268.989,1551.664,6,350,0,0,Random Vehicle
18,1899.998,5867.295,4954.102,5734.932,4,150,0,0,Random Vehicle
57,1966.665,2187.418,1004.288,1066.861,0,250.0001,0,0,Random Vehicle
61,1983.332,1644.318,1349.671,1897.93,2,66.66667,0,0,Random Vehicle
52,1966.665,2749.97,1850.989,2287.617,2,316.6667,0,0,Random Vehicle
45,2049.998,1730.315,858.8022,1197.491,4,350,0,0,Random Vehicle
16,2066.665,1576.075,1219.235,1683.755,3,233.3334,0,0,Random Vehicle
55,2099.998,1849.252,1216.34,1547.181,3,366.6667,0,0,Random Vehicle
9,2183.332,1952.043,1397.291,1747.311,1,116.6667,0,0,Random Vehicle
39,2149.999,2540.424,1678.526,2265.396,1,283.3334,0,0,Random Vehicle
63,2316.666,5652.763,5327.057,6642.324,1,250.0001,0,0,Random Vehicle
75,2516.667,2304.106,1857.696,2600.14,1,83.33334,0,0,Random Vehicle
26,2500,2790.51,1335.343,1729.763,0,250.0001,0,0,Random Vehicle
22,2600.001,2549.367,1916.843,2640.939,0,133.3334,0,0,Random Vehicle
4,2733.335,5404.866,4886.949,6087.71,2,283.3334,0,0,Random Vehicle
64,2800.002,3075.022,1606.804,1701.863,0,350,0,0,Random Vehicle
10,3083.336,3211.722,2550.346,3357.432,1,266.6667,0,0,Random Vehicle
6,3166.67,8540.386,7501.627,8625.258,0,233.3334,0,0,Random Vehicle
27,3166.67,3590.144,1634.91,2141.198,0,200,0,0,Random Vehicle
48,3233.337,8796.421,7680.313,8659.356,1,233.3334,0,0,Random Vehicle
73,3216.67,7139.855,6213.592,6948.206,1,250.0001,0,0,Random Vehicle
47,3233.337,6948.656,5806.091,6500.563,2,300,0,0,Random Vehicle
24,3316.671,7389.352,6445.922,7460.396,1,350,0,0,Random Vehicle
5,4033.341,6259.304,2836.018,3664.044,1,283.3334,0,0,Random Vehicle
30,4450.004,4667.982,2867.437,3067.241,3,449.9999,0,0,Random Vehicle
