vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
38,10.02417,227.1819,226.7848,307.7272,0,0,0,0,Random Vehicle
56,66.15844,312.5165,304.2638,351.338,5,23.87448,0,0,Random Vehicle
17,81.49178,466.1033,307.8125,385.4429,1,1.778671,0,0,Random Vehicle
32,96.82511,437.7126,386.0341,415.7202,3,37.07748,0,0,Random Vehicle
39,112.1584,506.2951,287.3419,397.6837,3,27.02712,0,0,Random Vehicle
29,127.4918,340.5143,247.4253,348.4938,2,7.101103,0,0,Random Vehicle
34,173.4918,415.1656,284.5336,378.279,4,39.30516,0,0,Random Vehicle
59,219.4918,709.6246,696.6994,984.7375,0,0,0,0,Random Vehicle
28,236.1584,641.5201,320.1534,432.1133,1,74.0116,0,0,Random Vehicle
8,286.1584,488.9936,299.4573,397.6063,2,17.4023,0,0,Random Vehicle
63,319.4917,591.1213,322.8728,361.4582,2,36.27828,0,0,Random Vehicle
61,336.1584,1078.348,1060.261,1496.684,0,0,0,0,Random Vehicle
49,436.1583,612.3223,440.5868,589.9122,2,62.45986,0,0,Random Vehicle
11,452.825,867.2211,641.2324,902.9858,3,51.51926,0,0,Random Vehicle
22,452.825,1078.844,904.3137,1102.138,3,100.0523,0,0,Random Vehicle
37,452.825,909.0519,776.8947,1056.035,2,84.46918,0,0,Random Vehicle
4,486.1583,652.6513,308.4975,404.4923,3,53.1912,0,0,Random Vehicle
62,502.825,1016.635,785.8781,931.5499,3,109.2252,0,0,Random Vehicle
16,536.1583,845.9832,524.9357,690.1531,2,95.17722,0,0,Random Vehicle
36,552.0115,1384.667,770.3018,997.4486,2,104.5081,0,0,Random Vehicle
50,602.8251,967.6102,745.8088,1052.081,2,68.06377,0,0,Random Vehicle
52,636.1584,1115.632,388.1508,536.9941,3,72.28458,0,0,Random Vehicle
31,669.4918,913.4891,764.756,840.3167,2,124.2084,0,0,Random Vehicle
47,719.4919,880.2366,710.9752,796.577,3,52.33534,0,0,Random Vehicle
20,752.8253,855.1494,629.0659,649.967,2,115.2931,0,0,Random Vehicle
30,752.8253,975.977,790.9634,885.8661,2,126.4657,0,0,Random Vehicle
55,851.8001,1314.111,766.6899,1067.598,1,100.3293,0,0,Random Vehicle
9,869.4921,842.817,286.9432,332.9202,2,107.7984,0,0,Random Vehicle
43,869.1587,1283.527,694.4092,973.53,1,141.496,0,0,Random Vehicle
46,869.4921,1115.488,714.1281,955.5347,5,132.3421,0,0,Random Vehicle
6,1002.826,1246.266,822.6293,1161.633,3,150.637,0,0,Random Vehicle
41,1018.134,1420.846,824.8751,1162.771,2,130.6491,0,0,Random Vehicle
48,1052.826,1387.269,691.2581,943.3198,3,152.2751,0,0,Random Vehicle
24,1068.679,1387.072,278.1867,382.7697,2,165.4144,0,0,Random Vehicle
25,1119.492,1381.137,508.8302,633.3588,2,150.3143,0,0,Random Vehicle
57,1152.825,1660.473,490.5632,537.0516,1,213.8165,0,0,Random Vehicle
42,1169.492,1187.72,502.3533,710.4231,4,139.2132,0,0,Random Vehicle
2,1186.159,1412.011,474.5034,643.2228,4,160.2186,0,0,Random Vehicle
14,1335.825,1710.953,560.1917,782.2133,4,163.3414,0,0,Random Vehicle
1,1369.491,1370.854,539.2533,714.205,3,150.0201,0,0,Random Vehicle
10,1385.825,1467.692,999.5103,1380.103,5,170.4645,0,0,Random Vehicle
53,1502.824,1438.215,1046.865,1205.412,5,171.0304,0,0,Random Vehicle
40,1551.262,2653.909,2465.748,3293.238,2,32.88574,0,0,Random Vehicle
13,1635.824,1688.46,1068.731,1505.217,4,193.7523,0,0,Random Vehicle
51,1717.928,2946.908,1069.374,1327.63,2,123.6053,0,0,Random Vehicle
3,2018.131,3060.04,1381.434,1507.486,1,200,0,0,Random Vehicle
5,2168.465,1993.377,1501.455,2111.775,2,195.8268,0,0,Random Vehicle
23,2551.263,4364.678,2652.836,3537.164,4,187.0617,0,0,Random Vehicle
