vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
20,83.33334,7.166701,7.166701,9.90802,1,16.66667,0,0,Random Vehicle
17,98.57491,133.6225,133.4853,179.8615,0,0,0,0,Random Vehicle
5,254.9965,192.903,123.0321,172.9848,1,73.52524,0,0,Random Vehicle
19,499.761,863.2607,382.6672,527.5302,1,53.12807,0,0,Random Vehicle
4,561.2852,1883.705,1281.754,1553.946,0,95.96095,0,0,Random Vehicle
14,519.8799,1163.942,703.0146,920.7844,1,91.84752,0,0,Random Vehicle
12,626.8464,648.9164,474.3343,663.0595,1,96.92934,0,0,Random Vehicle
27,653.5694,341.8095,313.755,421.0273,4,92.91463,0,0,Random Vehicle
22,645.9177,717.9745,390.2274,468.9501,1,54.67064,0,0,Random Vehicle
11,658.2786,862.9319,601.647,775.5787,2,78.25607,0,0,Random Vehicle
13,646.7649,1296.854,1085.641,1390.051,0,150.6909,0,0,Random Vehicle
18,720.8483,850.0131,733.7916,818.2613,2,113.8914,0,0,Random Vehicle
29,703.3706,2116.362,1567.975,2021.972,0,109.364,0,0,Random Vehicle
7,745.9023,1168.084,548.6618,602.624,2,138.2878,0,0,Random Vehicle
23,923.8904,3119.548,2892.097,3088.804,1,62.71484,0,0,Random Vehicle
1,949.1102,2661.276,2415.565,2673.765,1,81.79057,0,0,Random Vehicle
16,894.7432,1149.93,623.8068,625.7551,2,43.98551,0,0,Random Vehicle
6,971.7086,1197.336,436.8608,552.8102,3,63.57131,0,0,Random Vehicle
15,1003.864,2936.843,2178.302,2964.593,0,127.9086,0,0,Random Vehicle
25,1118.34,3669.979,2657.55,3349.75,0,116.4439,0,0,Random Vehicle
24,1299.904,4659.383,3836.772,4683.495,1,86.69016,0,0,Random Vehicle
9,1330.424,951.0577,755.7755,1041.027,7,101.0709,0,0,Random Vehicle
10,1424.711,5175.235,4544.151,5213.2,2,72.93193,0,0,Random Vehicle
3,1504.12,1151.698,942.3192,1248.479,4,73.16609,0,0,Random Vehicle
2,1633.654,1817.456,1180.952,1305.532,8,194.7902,0,0,Random Vehicle
21,1766.114,1394.361,946.5236,1133.102,7,88.08145,0,0,Random Vehicle
