vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
41,100,81.71439,81.44978,90.3349,0,0,0,0,Random Vehicle
31,300,405.516,330.6842,465.1653,0,83.33334,0,0,Random Vehicle
51,420.1035,500.3684,369.1539,517.0841,0,43.57421,0,0,Random Vehicle
72,448.1075,483.6313,365.4181,366.6399,0,38.87568,0,0,Random Vehicle
54,536.0962,2514.707,2433.38,3051.108,0,0,0,0,Random Vehicle
33,543.3555,894.0554,571.7783,625.7448,0,101.7463,0,0,Random Vehicle
69,543.6827,1175.526,772.485,1092.207,0,128.4445,0,0,Random Vehicle
35,626.7697,1046.959,897.3658,971.2444,0,123.4224,0,0,Random Vehicle
50,546.219,1362.998,1167.82,1611.458,0,141.5265,0,0,Random Vehicle
8,482.0049,1550.713,927.65,1123.332,0,133.1595,0,0,Random Vehicle
12,795.7449,1234.563,1047.111,1411.418,0,41.99511,0,0,Random Vehicle
57,801.02,2187.418,1004.288,1066.861,0,76.40958,0,0,Random Vehicle
26,906.4422,2790.51,1335.343,1729.763,0,57.53162,0,0,Random Vehicle
22,742.8347,2549.367,1916.843,2640.939,0,41.32104,0,0,Random Vehicle
27,826.1077,3590.144,1634.91,2141.198,0,83.61431,0,0,Random Vehicle
6,930.7138,8540.386,7501.627,8625.258,0,82.4037,0,0,Random Vehicle
