vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
38,145.7905,227.1819,226.7848,307.7272,0,0,0,0,Random Vehicle
17,183.2217,466.1033,307.8125,385.4429,0,8.965406,0,0,Random Vehicle
29,227.0314,340.5143,247.4253,348.4938,0,31.60122,0,0,Random Vehicle
39,227.0314,506.2951,287.3419,397.6837,0,61.75867,0,0,Random Vehicle
59,242.1598,709.6246,696.6994,984.7375,0,0,0,0,Random Vehicle
8,258.5964,488.9936,299.4573,397.6063,0,30.79326,0,0,Random Vehicle
28,258.5964,641.5201,320.1534,432.1133,0,61.94202,0,0,Random Vehicle
34,273.3698,415.1656,284.5336,378.279,0,79.65759,0,0,Random Vehicle
61,312.6686,1078.348,1060.261,1496.684,0,0,0,0,Random Vehicle
22,337.524,1078.844,904.3137,1102.138,0,92.438,0,0,Random Vehicle
16,349.3767,845.9832,524.9357,690.1531,0,79.20084,0,0,Random Vehicle
62,349.3767,1016.635,785.8781,931.5499,0,100.278,0,0,Random Vehicle
4,367.4737,652.6513,308.4975,404.4923,0,54.7352,0,0,Random Vehicle
49,367.4737,612.3223,440.5868,589.9122,0,58.01781,0,0,Random Vehicle
31,415.0782,913.4891,764.756,840.3167,0,98.55631,0,0,Random Vehicle
36,381.7448,1384.667,770.3018,997.4486,0,87.33842,0,0,Random Vehicle
20,437.6224,855.1494,629.0659,649.967,0,95.09706,0,0,Random Vehicle
30,479.871,975.977,790.9634,885.8661,0,86.73558,0,0,Random Vehicle
55,460.2764,1314.111,766.6899,1067.598,0,62.99508,0,0,Random Vehicle
9,518.3596,842.817,286.9432,332.9202,0,80.74517,0,0,Random Vehicle
43,549.1758,1283.527,694.4092,973.53,0,70.55723,0,0,Random Vehicle
41,534.8026,1420.846,824.8751,1162.771,0,62.29205,0,0,Random Vehicle
48,595.6337,1387.269,691.2581,943.3198,0,106.3157,0,0,Random Vehicle
24,583.6381,1387.072,278.1867,382.7697,0,106.1795,0,0,Random Vehicle
25,616.9713,1381.137,508.8302,633.3588,0,101.982,0,0,Random Vehicle
57,616.9713,1660.473,490.5632,537.0516,0,119.2116,0,0,Random Vehicle
14,689.1794,1710.953,560.1917,782.2133,0,76.76501,0,0,Random Vehicle
51,761.0507,2946.908,1069.374,1327.63,0,91.54221,0,0,Random Vehicle
