vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
41,100,81.71439,81.44978,90.3349,0,0,0,0,Random Vehicle
31,299.1221,405.516,330.6842,465.1653,0,83.33334,0,0,Random Vehicle
62,448.8224,707.181,413.109,472.5641,1,82.85182,0,0,Random Vehicle
34,465.4891,453.8627,397.0441,441.3499,1,66.66667,0,0,Random Vehicle
51,465.4891,500.3684,369.1539,517.0841,0,50,0,0,Random Vehicle
38,498.8224,406.219,340.8542,433.4092,1,116.6667,0,0,Random Vehicle
72,532.1558,483.6313,365.4181,366.6399,0,50,0,0,Random Vehicle
36,631.8326,324.0252,313.6797,351.1721,3,99.51849,0,0,Random Vehicle
42,714.4028,441.6566,344.4095,455.3156,3,100,0,0,Random Vehicle
54,731.0695,2514.707,2433.38,3051.108,0,0,0,0,Random Vehicle
17,747.7362,1134.593,802.9413,993.1227,2,133.0338,0,0,Random Vehicle
33,764.4029,894.0554,571.7783,625.7448,0,133.3334,0,0,Random Vehicle
77,781.0696,893.3022,525.7406,692.6335,1,133.3334,0,0,Random Vehicle
25,814.403,628.9457,387.8945,488.6525,1,132.4899,0,0,Random Vehicle
69,831.0697,1175.526,772.485,1092.207,0,200,0,0,Random Vehicle
20,881.0697,667.582,498.7322,604.305,2,133.3334,0,0,Random Vehicle
67,881.0697,862.0087,656.6363,784.8379,1,199.6037,0,0,Random Vehicle
21,931.0698,516.3368,475.0772,552.3602,4,115.9035,0,0,Random Vehicle
35,997.7365,1046.959,897.3658,971.2444,0,200,0,0,Random Vehicle
50,964.4032,1362.998,1167.82,1611.458,0,216.6667,0,0,Random Vehicle
8,964.4031,1550.713,927.65,1123.332,0,233.3334,0,0,Random Vehicle
76,1047.737,1267.701,763.83,1058.512,4,165.6039,0,0,Random Vehicle
43,1164.403,1158.313,1027.447,1398.855,2,233.3334,0,0,Random Vehicle
46,1181.069,1395.427,971.8936,1264.942,3,200,0,0,Random Vehicle
7,1264.403,972.0676,801.3374,987.226,2,166.6667,0,0,Random Vehicle
32,1231.069,2798.976,2263.325,2600.984,2,99.28041,0,0,Random Vehicle
58,1514.218,923.3627,476.3087,639.1891,3,183.3334,0,0,Random Vehicle
2,1497.551,1466.216,1164.243,1628.951,4,233.0338,0,0,Random Vehicle
12,1597.551,1234.563,1047.111,1411.418,0,100,0,0,Random Vehicle
19,1547.551,1442.449,1219.862,1710.954,3,266.4826,0,0,Random Vehicle
74,1714.218,1333.092,1049.365,1344.873,6,283.3334,0,0,Random Vehicle
49,1764.217,1778.789,1324.202,1688.249,1,283.3334,0,0,Random Vehicle
65,1814.217,1401.006,1012.653,1401.38,3,249.666,0,0,Random Vehicle
57,1964.217,2187.418,1004.288,1066.861,0,250.0001,0,0,Random Vehicle
13,1980.883,1850.452,957.0163,1104.876,1,299.9377,0,0,Random Vehicle
68,1997.55,1317.087,1037.371,1203.752,5,349.4195,0,0,Random Vehicle
61,2064.217,1644.318,1349.671,1897.93,2,66.66667,0,0,Random Vehicle
18,2014.217,5867.295,4954.102,5734.932,4,149.304,0,0,Random Vehicle
16,2080.883,1576.075,1219.235,1683.755,3,232.3682,0,0,Random Vehicle
55,2114.217,1849.252,1216.34,1547.181,3,365.5802,0,0,Random Vehicle
52,2080.883,2749.97,1850.989,2287.617,2,316.6667,0,0,Random Vehicle
39,2230.884,2540.424,1678.526,2265.396,1,283.3334,0,0,Random Vehicle
63,2297.551,5652.763,5327.057,6642.324,1,250.0001,0,0,Random Vehicle
26,2497.552,2790.51,1335.343,1729.763,0,250.0001,0,0,Random Vehicle
75,2530.885,2304.106,1857.696,2600.14,1,83.33334,0,0,Random Vehicle
22,2597.552,2549.367,1916.843,2640.939,0,131.9473,0,0,Random Vehicle
64,2797.553,3075.022,1606.804,1701.863,0,350,0,0,Random Vehicle
4,2864.22,5404.866,4886.949,6087.71,2,283.3334,0,0,Random Vehicle
10,3080.888,3211.722,2550.346,3357.432,1,266.6667,0,0,Random Vehicle
11,3214.222,3181.985,2046.124,2892.072,1,283.3334,0,0,Random Vehicle
6,3164.222,8540.386,7501.627,8625.258,0,233.3334,0,0,Random Vehicle
27,3164.222,3590.144,1634.91,2141.198,0,200,0,0,Random Vehicle
73,3264.222,7139.855,6213.592,6948.206,1,250.0001,0,0,Random Vehicle
48,3347.194,8796.421,7680.313,8659.356,1,232.9713,0,0,Random Vehicle
29,3330.527,2893.166,980.8879,1162.956,6,365.0987,0,0,Random Vehicle
24,3513.862,7389.352,6445.922,7460.396,1,349.8159,0,0,Random Vehicle
5,3963.737,6259.304,2836.018,3664.044,1,283.3334,0,0,Random Vehicle
30,4580.399,4667.982,2867.437,3067.241,3,449.9999,0,0,Random Vehicle
