vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
38,199.0388,227.1819,226.7848,307.7272,0,0,0,0,Random Vehicle
17,284.7178,466.1033,307.8125,385.4429,0,16.66667,0,0,Random Vehicle
56,284.7178,312.5165,304.2638,351.338,1,116.6667,0,0,Random Vehicle
29,365.9195,340.5143,247.4253,348.4938,0,50,0,0,Random Vehicle
39,365.9195,506.2951,287.3419,397.6837,0,100,0,0,Random Vehicle
59,393.7209,709.6246,696.6994,984.7375,0,0,0,0,Random Vehicle
8,422.4689,488.9936,299.4573,397.6063,0,50,0,0,Random Vehicle
28,422.4689,641.5201,320.1534,432.1133,0,100,0,0,Random Vehicle
32,422.4689,437.7126,386.0341,415.7202,1,100,0,0,Random Vehicle
34,450.0465,415.1656,284.5336,378.279,0,116.6667,0,0,Random Vehicle
61,532.9813,1078.348,1060.261,1496.684,0,0,0,0,Random Vehicle
26,561.2529,555.5381,418.0916,590.2141,2,122.0468,0,0,Random Vehicle
37,572.5696,909.0519,776.8947,1056.035,1,90.51151,0,0,Random Vehicle
22,589.2363,1078.844,904.3137,1102.138,0,150,0,0,Random Vehicle
16,617.2215,845.9832,524.9357,690.1531,0,133.3334,0,0,Random Vehicle
62,617.2215,1016.635,785.8781,931.5499,0,166.6667,0,0,Random Vehicle
4,645.6437,652.6513,308.4975,404.4923,0,100,0,0,Random Vehicle
49,645.6437,612.3223,440.5868,589.9122,0,100,0,0,Random Vehicle
50,713.8605,967.6102,745.8088,1052.081,1,78.77103,0,0,Random Vehicle
36,697.1938,1384.667,770.3018,997.4486,0,150,0,0,Random Vehicle
11,741.9255,867.2211,641.2324,902.9858,2,74.22086,0,0,Random Vehicle
31,758.5922,913.4891,764.756,840.3167,0,166.6667,0,0,Random Vehicle
33,798.1929,999.9697,663.7682,932.559,1,69.79036,0,0,Random Vehicle
20,814.8596,855.1494,629.0659,649.967,0,166.6667,0,0,Random Vehicle
30,901.0062,975.977,790.9634,885.8661,0,166.6667,0,0,Random Vehicle
52,912.2042,1115.632,388.1508,536.9941,1,94.30656,0,0,Random Vehicle
35,928.8709,982.7403,550.5081,769.7898,1,200,0,0,Random Vehicle
55,895.5376,1314.111,766.6899,1067.598,0,116.6667,0,0,Random Vehicle
18,940.9915,710.0789,399.7893,461.2056,3,129.5154,0,0,Random Vehicle
44,940.9915,1014.451,763.6823,1078.594,2,123.0888,0,0,Random Vehicle
45,971.0157,666.7475,444.326,619.3987,4,94.93828,0,0,Random Vehicle
9,987.6824,842.817,286.9432,332.9202,0,150,0,0,Random Vehicle
46,987.6824,1115.488,714.1281,955.5347,3,171.6251,0,0,Random Vehicle
43,1070.801,1283.527,694.4092,973.53,0,117.2969,0,0,Random Vehicle
41,1098.314,1420.846,824.8751,1162.771,0,166.6667,0,0,Random Vehicle
47,1131.648,880.2366,710.9752,796.577,2,78.42215,0,0,Random Vehicle
6,1161.805,1246.266,822.6293,1161.633,2,183.3334,0,0,Random Vehicle
48,1189.883,1387.269,691.2581,943.3198,0,200,0,0,Random Vehicle
24,1215.18,1387.072,278.1867,382.7697,0,200,0,0,Random Vehicle
25,1248.514,1381.137,508.8302,633.3588,0,183.3334,0,0,Random Vehicle
57,1248.514,1660.473,490.5632,537.0516,0,233.3334,0,0,Random Vehicle
1,1261.704,1370.854,539.2533,714.205,1,144.6559,0,0,Random Vehicle
42,1261.704,1187.72,502.3533,710.4231,1,172.1758,0,0,Random Vehicle
7,1307.178,1108.845,1027.915,1114.588,2,78.91429,0,0,Random Vehicle
14,1419.266,1710.953,560.1917,782.2133,0,160.8669,0,0,Random Vehicle
64,1541.258,1446.784,856.9858,1196.287,4,177.0339,0,0,Random Vehicle
53,1570.253,1438.215,1046.865,1205.412,1,233.3334,0,0,Random Vehicle
12,1565.905,1586.303,1246.981,1671.109,3,168.7944,0,0,Random Vehicle
13,1594.863,1688.46,1068.731,1505.217,3,167.0173,0,0,Random Vehicle
27,1628.196,1629.687,1132.928,1596.682,1,266.6667,0,0,Random Vehicle
51,1740.615,2946.908,1069.374,1327.63,0,166.6667,0,0,Random Vehicle
58,1753.476,2608.223,979.0675,1377.961,1,131.5947,0,0,Random Vehicle
40,1782.274,2653.909,2465.748,3293.238,1,49.75867,0,0,Random Vehicle
5,2217.79,1993.377,1501.455,2111.775,1,224.0525,0,0,Random Vehicle
15,2434.05,3784.282,1884.449,2130.155,1,200,0,0,Random Vehicle
