vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
20,83.33334,7.166701,7.166701,9.90802,1,16.66667,0,0,Random Vehicle
17,97.84191,133.6225,133.4853,179.8615,0,0,0,0,Random Vehicle
5,323.9988,192.903,123.0321,172.9848,1,49.83511,0,0,Random Vehicle
26,445.6266,199.4896,185.645,253.7938,4,41.43441,0,0,Random Vehicle
4,445.9049,1883.705,1281.754,1553.946,0,73.14483,0,0,Random Vehicle
12,495.1454,648.9164,474.3343,663.0595,1,69.74917,0,0,Random Vehicle
22,501.2656,717.9745,390.2274,468.9501,1,41.52318,0,0,Random Vehicle
13,492.1915,1296.854,1085.641,1390.051,0,108.9574,0,0,Random Vehicle
18,585.1473,850.0131,733.7916,818.2613,2,90.81527,0,0,Random Vehicle
29,534.8557,2116.362,1567.975,2021.972,0,58.92054,0,0,Random Vehicle
11,616.709,862.9319,601.647,775.5787,2,63.65808,0,0,Random Vehicle
14,566.5789,1163.942,703.0146,920.7844,1,88.09908,0,0,Random Vehicle
7,630.6633,1168.084,548.6618,602.624,2,118.8388,0,0,Random Vehicle
23,720.3176,3119.548,2892.097,3088.804,1,40.77062,0,0,Random Vehicle
27,746.2058,341.8095,313.755,421.0273,4,80.33016,0,0,Random Vehicle
1,754.1162,2661.276,2415.565,2673.765,1,47.88336,0,0,Random Vehicle
30,681.2318,1171.758,435.4088,611.7267,2,58.41509,0,0,Random Vehicle
8,770.1683,1019.476,942.9014,1272.597,2,16.57802,0,0,Random Vehicle
28,788.0412,928.1166,759.2561,1003.535,1,27.14219,0,0,Random Vehicle
15,742.4062,2936.843,2178.302,2964.593,0,80.51303,0,0,Random Vehicle
16,824.1735,1149.93,623.8068,625.7551,2,36.14627,0,0,Random Vehicle
25,833.2885,3669.979,2657.55,3349.75,0,72.27273,0,0,Random Vehicle
6,883.5738,1197.336,436.8608,552.8102,3,48.40342,0,0,Random Vehicle
24,997.5402,4659.383,3836.772,4683.495,1,64.48031,0,0,Random Vehicle
10,1144.13,5175.235,4544.151,5213.2,2,52.3472,0,0,Random Vehicle
9,1301.397,951.0577,755.7755,1041.027,7,72.19277,0,0,Random Vehicle
2,1344.462,1817.456,1180.952,1305.532,8,151.7151,0,0,Random Vehicle
3,1344.462,1151.698,942.3192,1248.479,4,50.85741,0,0,Random Vehicle
21,1467.089,1394.361,946.5236,1133.102,7,65.39604,0,0,Random Vehicle
