vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
41,100,81.71439,81.44978,90.3349,0,0,0,0,Random Vehicle
31,299.7978,405.516,330.6842,465.1653,0,83.33334,0,0,Random Vehicle
38,449.7977,406.219,340.8542,433.4092,1,116.4645,0,0,Random Vehicle
15,466.4644,132.5448,115.0229,150.0868,3,50,0,0,Random Vehicle
51,466.4644,500.3684,369.1539,517.0841,0,50,0,0,Random Vehicle
62,499.7977,707.181,413.109,472.5641,1,83.33334,0,0,Random Vehicle
34,516.4644,453.8627,397.0441,441.3499,1,66.66667,0,0,Random Vehicle
72,533.131,483.6313,365.4181,366.6399,0,50,0,0,Random Vehicle
36,599.7978,324.0252,313.6797,351.1721,3,100,0,0,Random Vehicle
17,716.4646,1134.593,802.9413,993.1227,2,133.3334,0,0,Random Vehicle
54,733.1313,2514.707,2433.38,3051.108,0,0,0,0,Random Vehicle
77,749.798,893.3022,525.7406,692.6335,1,133.3334,0,0,Random Vehicle
33,766.4647,894.0554,571.7783,625.7448,0,133.3334,0,0,Random Vehicle
20,799.798,667.582,498.7322,604.305,2,133.3334,0,0,Random Vehicle
25,849.7981,628.9457,387.8945,488.6525,1,133.3334,0,0,Random Vehicle
69,833.1314,1175.526,772.485,1092.207,0,200,0,0,Random Vehicle
42,899.7982,441.6566,344.4095,455.3156,3,100,0,0,Random Vehicle
67,899.7982,862.0087,656.6363,784.8379,1,200,0,0,Random Vehicle
35,999.7983,1046.959,897.3658,971.2444,0,200,0,0,Random Vehicle
50,966.4649,1362.998,1167.82,1611.458,0,216.6667,0,0,Random Vehicle
8,966.4649,1550.713,927.65,1123.332,0,233.3334,0,0,Random Vehicle
76,1099.798,1267.701,763.83,1058.512,4,166.6667,0,0,Random Vehicle
7,1166.465,972.0676,801.3374,987.226,2,166.6667,0,0,Random Vehicle
3,1233.131,401.5277,311.5019,326.5125,4,100,0,0,Random Vehicle
71,1233.131,1374.877,412.3522,538.6224,2,266.6667,0,0,Random Vehicle
32,1166.465,2798.976,2263.325,2600.984,2,100,0,0,Random Vehicle
46,1283.131,1395.427,971.8936,1264.942,3,200,0,0,Random Vehicle
14,1283.131,2024.511,1507.01,1876.657,3,116.6667,0,0,Random Vehicle
43,1333.131,1158.313,1027.447,1398.855,2,233.3334,0,0,Random Vehicle
19,1449.797,1442.449,1219.862,1710.954,3,266.6667,0,0,Random Vehicle
37,1516.464,1592.044,1102.328,1540.424,4,283.3334,0,0,Random Vehicle
12,1599.797,1234.563,1047.111,1411.418,0,100,0,0,Random Vehicle
58,1616.464,923.3627,476.3087,639.1891,3,183.3334,0,0,Random Vehicle
23,1633.13,3238.88,2821.898,3632.872,3,300,0,0,Random Vehicle
65,1716.463,1401.006,1012.653,1401.38,3,250.0001,0,0,Random Vehicle
56,1699.797,1619.238,1039.461,1079.816,5,283.3334,0,0,Random Vehicle
66,1799.796,1645.929,1049.008,1372.018,4,283.3334,0,0,Random Vehicle
68,1783.13,1317.087,1037.371,1203.752,5,350,0,0,Random Vehicle
49,1749.797,1778.789,1324.202,1688.249,1,283.3334,0,0,Random Vehicle
1,1866.463,1369.339,852.2725,1195.567,4,250.0001,0,0,Random Vehicle
74,1899.796,1333.092,1049.365,1344.873,6,283.3334,0,0,Random Vehicle
13,1933.129,1850.452,957.0163,1104.876,1,300,0,0,Random Vehicle
57,1966.463,2187.418,1004.288,1066.861,0,250.0001,0,0,Random Vehicle
59,1916.463,1887.908,1268.989,1551.664,6,350,0,0,Random Vehicle
61,1999.796,1644.318,1349.671,1897.93,2,66.66667,0,0,Random Vehicle
45,2066.463,1730.315,858.8022,1197.491,4,350,0,0,Random Vehicle
55,2083.129,1849.252,1216.34,1547.181,3,366.6667,0,0,Random Vehicle
52,2049.796,2749.97,1850.989,2287.617,2,316.6667,0,0,Random Vehicle
18,2066.463,5867.295,4954.102,5734.932,4,149.7978,0,0,Random Vehicle
16,2149.796,1576.075,1219.235,1683.755,3,233.3334,0,0,Random Vehicle
9,2249.797,1952.043,1397.291,1747.311,1,116.6667,0,0,Random Vehicle
70,2233.13,2349.001,1540.859,2079.236,1,283.3334,0,0,Random Vehicle
39,2233.13,2540.424,1678.526,2265.396,1,283.3334,0,0,Random Vehicle
63,2316.464,5652.763,5327.057,6642.324,1,250.0001,0,0,Random Vehicle
26,2499.798,2790.51,1335.343,1729.763,0,250.0001,0,0,Random Vehicle
75,2616.465,2304.106,1857.696,2600.14,1,83.33334,0,0,Random Vehicle
22,2599.799,2549.367,1916.843,2640.939,0,133.3334,0,0,Random Vehicle
4,2783.133,5404.866,4886.949,6087.71,2,283.3334,0,0,Random Vehicle
64,2799.8,3075.022,1606.804,1701.863,0,350,0,0,Random Vehicle
11,3016.467,3181.985,2046.124,2892.072,1,283.3334,0,0,Random Vehicle
53,3066.468,2900.366,2010.77,2747.235,4,283.3334,0,0,Random Vehicle
28,3133.135,2852.034,1343.934,1813.933,3,233.3334,0,0,Random Vehicle
10,3133.135,3211.722,2550.346,3357.432,1,266.6667,0,0,Random Vehicle
6,3166.468,8540.386,7501.627,8625.258,0,233.3334,0,0,Random Vehicle
27,3166.468,3590.144,1634.91,2141.198,0,200,0,0,Random Vehicle
48,3316.469,8796.421,7680.313,8659.356,1,233.3334,0,0,Random Vehicle
24,3383.136,7389.352,6445.922,7460.396,1,350,0,0,Random Vehicle
44,3616.47,3103.317,1103.448,1420.827,3,366.6667,0,0,Random Vehicle
5,3983.139,6259.304,2836.018,3664.044,1,283.3334,0,0,Random Vehicle
60,4233.138,8097.74,5169.569,6623.35,1,266.6667,0,0,Random Vehicle
30,4633.134,4667.982,2867.437,3067.241,3,449.9999,0,0,Random Vehicle
