vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
38,211.0958,227.1819,226.7848,307.7272,0,0,0,0,Random Vehicle
17,302.099,466.1033,307.8125,385.4429,0,16.66667,0,0,Random Vehicle
56,316.3599,312.5165,304.2638,351.338,1,94.88918,0,0,Random Vehicle
29,393.4005,340.5143,247.4253,348.4938,0,50,0,0,Random Vehicle
39,393.4005,506.2951,287.3419,397.6837,0,100,0,0,Random Vehicle
32,408.1758,437.7126,386.0341,415.7202,1,83.92573,0,0,Random Vehicle
59,424.8424,709.6246,696.6994,984.7375,0,0,0,0,Random Vehicle
8,457.2951,488.9936,299.4573,397.6063,0,50,0,0,Random Vehicle
28,457.2951,641.5201,320.1534,432.1133,0,100,0,0,Random Vehicle
34,488.243,415.1656,284.5336,378.279,0,116.6667,0,0,Random Vehicle
61,580.3892,1078.348,1060.261,1496.684,0,0,0,0,Random Vehicle
22,642.7616,1078.844,904.3137,1102.138,0,150,0,0,Random Vehicle
26,657.3233,555.5381,418.0916,590.2141,2,143.6007,0,0,Random Vehicle
16,673.99,845.9832,524.9357,690.1531,0,133.3334,0,0,Random Vehicle
37,673.99,909.0519,776.8947,1056.035,1,116.6667,0,0,Random Vehicle
62,673.99,1016.635,785.8781,931.5499,0,166.6667,0,0,Random Vehicle
63,688.1103,591.1213,322.8728,361.4582,1,76.50288,0,0,Random Vehicle
4,704.777,652.6513,308.4975,404.4923,0,100,0,0,Random Vehicle
49,704.777,612.3223,440.5868,589.9122,0,100,0,0,Random Vehicle
36,761.1975,1384.667,770.3018,997.4486,0,150,0,0,Random Vehicle
31,825.5953,913.4891,764.756,840.3167,0,166.6667,0,0,Random Vehicle
50,825.5953,967.6102,745.8088,1052.081,1,100,0,0,Random Vehicle
11,838.2032,867.2211,641.2324,902.9858,2,92.25116,0,0,Random Vehicle
20,884.8632,855.1494,629.0659,649.967,0,166.6667,0,0,Random Vehicle
33,915.0699,999.9697,663.7682,932.559,1,100,0,0,Random Vehicle
18,945.0958,710.0789,399.7893,461.2056,3,183.3334,0,0,Random Vehicle
30,974.6255,975.977,790.9634,885.8661,0,166.6667,0,0,Random Vehicle
35,987.29,982.7403,550.5081,769.7898,1,186.1339,0,0,Random Vehicle
44,987.29,1014.451,763.6823,1078.594,2,137.0124,0,0,Random Vehicle
52,1003.957,1115.632,388.1508,536.9941,1,133.3334,0,0,Random Vehicle
55,970.6234,1314.111,766.6899,1067.598,0,116.6667,0,0,Random Vehicle
60,1003.957,962.874,745.7957,777.364,2,193.7023,0,0,Random Vehicle
9,1062.722,842.817,286.9432,332.9202,0,150,0,0,Random Vehicle
45,1103.437,666.7475,444.326,619.3987,4,97.89508,0,0,Random Vehicle
46,1120.104,1115.488,714.1281,955.5347,3,185.1313,0,0,Random Vehicle
43,1145.996,1283.527,694.4092,973.53,0,134.451,0,0,Random Vehicle
41,1175.176,1420.846,824.8751,1162.771,0,166.6667,0,0,Random Vehicle
6,1220.808,1246.266,822.6293,1161.633,2,159.099,0,0,Random Vehicle
54,1220.808,1025.209,904.5652,1214.855,4,145.3356,0,0,Random Vehicle
48,1266.24,1387.269,691.2581,943.3198,0,200,0,0,Random Vehicle
42,1279.344,1187.72,502.3533,710.4231,1,181.6304,0,0,Random Vehicle
1,1324.521,1370.854,539.2533,714.205,1,200,0,0,Random Vehicle
24,1291.188,1387.072,278.1867,382.7697,0,200,0,0,Random Vehicle
25,1324.521,1381.137,508.8302,633.3588,0,183.3334,0,0,Random Vehicle
57,1324.521,1660.473,490.5632,537.0516,0,233.3334,0,0,Random Vehicle
2,1383.229,1412.011,474.5034,643.2228,1,233.3334,0,0,Random Vehicle
12,1378.812,1586.303,1246.981,1671.109,3,172.6976,0,0,Random Vehicle
64,1424.232,1446.784,856.9858,1196.287,4,183.0549,0,0,Random Vehicle
14,1494.461,1710.953,560.1917,782.2133,0,182.9726,0,0,Random Vehicle
21,1527.795,1417.514,910.1927,1287.09,3,177.3535,0,0,Random Vehicle
53,1643.101,1438.215,1046.865,1205.412,1,233.3334,0,0,Random Vehicle
27,1672.652,1629.687,1132.928,1596.682,1,266.6667,0,0,Random Vehicle
10,1701.785,1467.692,999.5103,1380.103,1,188.8059,0,0,Random Vehicle
51,1817.077,2946.908,1069.374,1327.63,0,166.6667,0,0,Random Vehicle
58,1830.301,2608.223,979.0675,1377.961,1,150.8124,0,0,Random Vehicle
40,1933.256,2653.909,2465.748,3293.238,1,66.66667,0,0,Random Vehicle
23,2491.699,4364.678,2652.836,3537.164,1,228.0405,0,0,Random Vehicle
