vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
17,99.66232,133.6225,133.4853,179.8615,0,0,0,0,Random Vehicle
20,180.1458,7.166701,7.166701,9.90802,1,16.66667,0,0,Random Vehicle
5,248.8845,192.903,123.0321,172.9848,1,47.39258,0,0,Random Vehicle
4,441.4163,1883.705,1281.754,1553.946,0,76.72466,0,0,Random Vehicle
22,462.6868,717.9745,390.2274,468.9501,1,39.80806,0,0,Random Vehicle
12,504.506,648.9164,474.3343,663.0595,1,65.77225,0,0,Random Vehicle
19,521.1727,863.2607,382.6672,527.5302,1,42.00291,0,0,Random Vehicle
26,521.1727,199.4896,185.645,253.7938,4,40.41605,0,0,Random Vehicle
13,484.2053,1296.854,1085.641,1390.051,0,105.432,0,0,Random Vehicle
18,567.2942,850.0131,733.7916,818.2613,2,87.52647,0,0,Random Vehicle
14,509.4125,1163.942,703.0146,920.7844,1,72.15694,0,0,Random Vehicle
27,617.2786,341.8095,313.755,421.0273,4,78.26836,0,0,Random Vehicle
29,524.1907,2116.362,1567.975,2021.972,0,87.19289,0,0,Random Vehicle
11,635.4228,862.9319,601.647,775.5787,2,48.42102,0,0,Random Vehicle
23,720.2641,3119.548,2892.097,3088.804,1,41.89438,0,0,Random Vehicle
1,726.0663,2661.276,2415.565,2673.765,1,53.43483,0,0,Random Vehicle
7,649.8489,1168.084,548.6618,602.624,2,110.5207,0,0,Random Vehicle
16,633.1822,1149.93,623.8068,625.7551,2,36.71844,0,0,Random Vehicle
15,716.6088,2936.843,2178.302,2964.593,0,83.14588,0,0,Random Vehicle
6,721.8568,1197.336,436.8608,552.8102,3,46.90369,0,0,Random Vehicle
28,828.505,928.1166,759.2561,1003.535,1,23.11649,0,0,Random Vehicle
30,745.5093,1171.758,435.4088,611.7267,2,41.28657,0,0,Random Vehicle
25,807.3447,3669.979,2657.55,3349.75,0,57.77149,0,0,Random Vehicle
8,897.5416,1019.476,942.9014,1272.597,2,15.52775,0,0,Random Vehicle
24,1002.566,4659.383,3836.772,4683.495,1,56.45853,0,0,Random Vehicle
9,994.2852,951.0577,755.7755,1041.027,7,74.98574,0,0,Random Vehicle
10,1057.839,5175.235,4544.151,5213.2,2,48.8232,0,0,Random Vehicle
3,1064.22,1151.698,942.3192,1248.479,4,48.58469,0,0,Random Vehicle
2,1315.349,1817.456,1180.952,1305.532,8,141.2589,0,0,Random Vehicle
21,1464.765,1394.361,946.5236,1133.102,7,62.06639,0,0,Random Vehicle
