vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
41,69.66667,81.71439,81.44978,90.3349,0,0,0,0,Random Vehicle
31,268.6667,405.516,330.6842,465.1653,0,83.33334,0,0,Random Vehicle
34,385.3333,453.8627,397.0441,441.3499,1,66.66667,0,0,Random Vehicle
51,435.3333,500.3684,369.1539,517.0841,0,50,0,0,Random Vehicle
15,451.9999,132.5448,115.0229,150.0868,3,50,0,0,Random Vehicle
72,501.9999,483.6313,365.4181,366.6399,0,50,0,0,Random Vehicle
62,568.6666,707.181,413.109,472.5641,1,83.33334,0,0,Random Vehicle
77,685.3334,893.3022,525.7406,692.6335,1,133.3334,0,0,Random Vehicle
54,702.0001,2514.707,2433.38,3051.108,0,0,0,0,Random Vehicle
33,735.3335,894.0554,571.7783,625.7448,0,133.3334,0,0,Random Vehicle
20,768.6669,667.582,498.7322,604.305,2,133.3334,0,0,Random Vehicle
69,802.0002,1175.526,772.485,1092.207,0,200,0,0,Random Vehicle
67,852.0003,862.0087,656.6363,784.8379,1,200,0,0,Random Vehicle
35,968.6671,1046.959,897.3658,971.2444,0,200,0,0,Random Vehicle
50,951.0004,1362.998,1167.82,1611.458,0,216.6667,0,0,Random Vehicle
8,966.6671,1550.713,927.65,1123.332,0,233.3334,0,0,Random Vehicle
43,1166.667,1158.313,1027.447,1398.855,2,233.3334,0,0,Random Vehicle
46,1183.333,1395.427,971.8936,1264.942,3,200,0,0,Random Vehicle
71,1202,1374.877,412.3522,538.6224,2,266.6667,0,0,Random Vehicle
7,1235.333,972.0676,801.3374,987.226,2,166.6667,0,0,Random Vehicle
32,1283.333,2798.976,2263.325,2600.984,2,100,0,0,Random Vehicle
58,1385.333,923.3627,476.3087,639.1891,3,183.3334,0,0,Random Vehicle
19,1400,1442.449,1219.862,1710.954,3,266.6667,0,0,Random Vehicle
23,1499.999,3238.88,2821.898,3632.872,3,300,0,0,Random Vehicle
12,1568.666,1234.563,1047.111,1411.418,0,100,0,0,Random Vehicle
56,1583.333,1619.238,1039.461,1079.816,5,283.3334,0,0,Random Vehicle
68,1684.332,1317.087,1037.371,1203.752,5,350,0,0,Random Vehicle
49,1749.999,1778.789,1324.202,1688.249,1,283.3334,0,0,Random Vehicle
65,1767.665,1401.006,1012.653,1401.38,3,250.0001,0,0,Random Vehicle
66,1784.332,1645.929,1049.008,1372.018,4,283.3334,0,0,Random Vehicle
57,1935.332,2187.418,1004.288,1066.861,0,250.0001,0,0,Random Vehicle
61,1933.332,1644.318,1349.671,1897.93,2,66.66667,0,0,Random Vehicle
16,1966.665,1576.075,1219.235,1683.755,3,233.3334,0,0,Random Vehicle
52,1999.998,2749.97,1850.989,2287.617,2,316.6667,0,0,Random Vehicle
9,2101.998,1952.043,1397.291,1747.311,1,116.6667,0,0,Random Vehicle
55,2099.998,1849.252,1216.34,1547.181,3,366.6667,0,0,Random Vehicle
18,2116.665,5867.295,4954.102,5734.932,4,150,0,0,Random Vehicle
39,2216.666,2540.424,1678.526,2265.396,1,283.3334,0,0,Random Vehicle
63,2400,5652.763,5327.057,6642.324,1,250.0001,0,0,Random Vehicle
26,2468.667,2790.51,1335.343,1729.763,0,250.0001,0,0,Random Vehicle
75,2535.334,2304.106,1857.696,2600.14,1,83.33334,0,0,Random Vehicle
22,2600.001,2549.367,1916.843,2640.939,0,133.3334,0,0,Random Vehicle
4,2683.334,5404.866,4886.949,6087.71,2,283.3334,0,0,Random Vehicle
64,2800.002,3075.022,1606.804,1701.863,0,350,0,0,Random Vehicle
53,3018.669,2900.366,2010.77,2747.235,4,283.3334,0,0,Random Vehicle
11,3033.336,3181.985,2046.124,2892.072,1,283.3334,0,0,Random Vehicle
10,3067.67,3211.722,2550.346,3357.432,1,266.6667,0,0,Random Vehicle
28,3102.003,2852.034,1343.934,1813.933,3,233.3334,0,0,Random Vehicle
73,3150.003,7139.855,6213.592,6948.206,1,250.0001,0,0,Random Vehicle
27,3166.67,3590.144,1634.91,2141.198,0,200,0,0,Random Vehicle
48,3201.004,8796.421,7680.313,8659.356,1,233.3334,0,0,Random Vehicle
6,3166.67,8540.386,7501.627,8625.258,0,233.3334,0,0,Random Vehicle
44,3216.67,3103.317,1103.448,1420.827,3,366.6667,0,0,Random Vehicle
47,3266.671,6948.656,5806.091,6500.563,2,300,0,0,Random Vehicle
24,3315.759,7389.352,6445.922,7460.396,1,350,0,0,Random Vehicle
5,3942.908,6259.304,2836.018,3664.044,1,283.3334,0,0,Random Vehicle
60,4163.909,8097.74,5169.569,6623.35,1,266.6667,0,0,Random Vehicle
30,4437.478,4667.982,2867.437,3067.241,3,446.5547,0,0,Random Vehicle
