vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
38,208.846,227.1819,226.7848,307.7272,0,0,0,0,Random Vehicle
56,280.1344,312.5165,304.2638,351.338,1,87.98602,0,0,Random Vehicle
17,296.8011,466.1033,307.8125,385.4429,0,16.66667,0,0,Random Vehicle
29,384.5125,340.5143,247.4253,348.4938,0,50,0,0,Random Vehicle
39,384.5125,506.2951,287.3419,397.6837,0,100,0,0,Random Vehicle
59,413.5865,709.6246,696.6994,984.7375,0,0,0,0,Random Vehicle
8,443.1411,488.9936,299.4573,397.6063,0,50,0,0,Random Vehicle
28,443.1411,641.5201,320.1534,432.1133,0,100,0,0,Random Vehicle
34,474.333,415.1656,284.5336,378.279,0,116.6667,0,0,Random Vehicle
61,564.5435,1078.348,1060.261,1496.684,0,0,0,0,Random Vehicle
63,577.8234,591.1213,322.8728,361.4582,1,70.30078,0,0,Random Vehicle
22,623.9586,1078.844,904.3137,1102.138,0,150,0,0,Random Vehicle
16,655.6533,845.9832,524.9357,690.1531,0,133.3334,0,0,Random Vehicle
62,655.6533,1016.635,785.8781,931.5499,0,166.6667,0,0,Random Vehicle
37,670.2541,909.0519,776.8947,1056.035,1,101.1904,0,0,Random Vehicle
4,686.9208,652.6513,308.4975,404.4923,0,100,0,0,Random Vehicle
49,686.9208,612.3223,440.5868,589.9122,0,100,0,0,Random Vehicle
11,747.0425,867.2211,641.2324,902.9858,2,93.25555,0,0,Random Vehicle
26,777.9106,555.5381,418.0916,590.2141,2,128.3423,0,0,Random Vehicle
36,744.5773,1384.667,770.3018,997.4486,0,150,0,0,Random Vehicle
31,809.2335,913.4891,764.756,840.3167,0,166.6667,0,0,Random Vehicle
50,809.2335,967.6102,745.8088,1052.081,1,100,0,0,Random Vehicle
20,869.7772,855.1494,629.0659,649.967,0,166.6667,0,0,Random Vehicle
45,945.3321,666.7475,444.326,619.3987,4,94.06975,0,0,Random Vehicle
30,961.9988,975.977,790.9634,885.8661,0,166.6667,0,0,Random Vehicle
52,974.849,1115.632,388.1508,536.9941,1,109.8025,0,0,Random Vehicle
44,991.5157,1014.451,763.6823,1078.594,2,150,0,0,Random Vehicle
55,958.1823,1314.111,766.6899,1067.598,0,116.6667,0,0,Random Vehicle
9,1052.132,842.817,286.9432,332.9202,0,150,0,0,Random Vehicle
35,1068.799,982.7403,550.5081,769.7898,1,185.5191,0,0,Random Vehicle
60,1068.799,962.874,745.7957,777.364,2,175.8135,0,0,Random Vehicle
47,1085.465,880.2366,710.9752,796.577,2,83.33334,0,0,Random Vehicle
43,1141.226,1283.527,694.4092,973.53,0,137.2469,0,0,Random Vehicle
6,1174.559,1246.266,822.6293,1161.633,2,171.5904,0,0,Random Vehicle
41,1174.559,1420.846,824.8751,1162.771,0,166.6667,0,0,Random Vehicle
42,1273.097,1187.72,502.3533,710.4231,1,200,0,0,Random Vehicle
48,1273.097,1387.269,691.2581,943.3198,0,200,0,0,Random Vehicle
24,1298.006,1387.072,278.1867,382.7697,0,200,0,0,Random Vehicle
25,1331.339,1381.137,508.8302,633.3588,0,183.3334,0,0,Random Vehicle
57,1331.339,1660.473,490.5632,537.0516,0,233.3334,0,0,Random Vehicle
1,1374.737,1370.854,539.2533,714.205,1,170.1179,0,0,Random Vehicle
2,1374.737,1412.011,474.5034,643.2228,1,191.504,0,0,Random Vehicle
54,1466.495,1025.209,904.5652,1214.855,4,144.2277,0,0,Random Vehicle
14,1514.373,1710.953,560.1917,782.2133,0,185.5629,0,0,Random Vehicle
53,1660.501,1438.215,1046.865,1205.412,1,225.9617,0,0,Random Vehicle
10,1722.288,1467.692,999.5103,1380.103,1,194.2682,0,0,Random Vehicle
12,1737.19,1586.303,1246.981,1671.109,3,183.3334,0,0,Random Vehicle
27,1785.978,1629.687,1132.928,1596.682,1,237.7792,0,0,Random Vehicle
13,1864.392,1688.46,1068.731,1505.217,3,184.7356,0,0,Random Vehicle
58,1847.725,2608.223,979.0675,1377.961,1,148.6193,0,0,Random Vehicle
51,1864.392,2946.908,1069.374,1327.63,0,166.6667,0,0,Random Vehicle
19,2052.53,2959.364,2762.303,3674.199,2,83.33334,0,0,Random Vehicle
3,2125.773,3060.04,1381.434,1507.486,1,173.8891,0,0,Random Vehicle
5,2347.788,1993.377,1501.455,2111.775,1,229.0705,0,0,Random Vehicle
15,2492.111,3784.282,1884.449,2130.155,1,200,0,0,Random Vehicle
23,2751.197,4364.678,2652.836,3537.164,1,250.0001,0,0,Random Vehicle
