vehicleID,totalTime,distanceTraveled,euclideanDistance,manhattanDistance,junctionCount,timeSpentQueueing,maxSpeed,averageSpeed,algorithm
20,83.33334,7.166701,7.166701,9.90802,1,16.66667,0,0,Random Vehicle
17,100,133.6225,133.4853,179.8615,0,0,0,0,Random Vehicle
5,234.2751,192.903,123.0321,172.9848,1,60.21677,0,0,Random Vehicle
19,447.7504,863.2607,382.6672,527.5302,1,45.86195,0,0,Random Vehicle
26,458.1185,199.4896,185.645,253.7938,4,40.67883,0,0,Random Vehicle
14,435.1149,1163.942,703.0146,920.7844,1,84.06975,0,0,Random Vehicle
4,494.9922,1883.705,1281.754,1553.946,0,85.28242,0,0,Random Vehicle
12,559.7692,648.9164,474.3343,663.0595,1,98.8751,0,0,Random Vehicle
22,526.4357,717.9745,390.2274,468.9501,1,49.43782,0,0,Random Vehicle
13,556.5188,1296.854,1085.641,1390.051,0,127.5484,0,0,Random Vehicle
18,621.2921,850.0131,733.7916,818.2613,2,107.8787,0,0,Random Vehicle
29,591.6915,2116.362,1567.975,2021.972,0,100.4149,0,0,Random Vehicle
11,664.6537,862.9319,601.647,775.5787,2,59.22345,0,0,Random Vehicle
7,640.1228,1168.084,548.6618,602.624,2,144.5199,0,0,Random Vehicle
23,779.1926,3119.548,2892.097,3088.804,1,44.30624,0,0,Random Vehicle
30,712.5259,1171.758,435.4088,611.7267,2,76.493,0,0,Random Vehicle
1,796.3538,2661.276,2415.565,2673.765,1,58.99072,0,0,Random Vehicle
16,740.1605,1149.93,623.8068,625.7551,2,38.38704,0,0,Random Vehicle
6,775.4193,1197.336,436.8608,552.8102,3,55.89548,0,0,Random Vehicle
28,857.0806,928.1166,759.2561,1003.535,1,32.44868,0,0,Random Vehicle
15,813.7164,2936.843,2178.302,2964.593,0,91.07999,0,0,Random Vehicle
25,911.4686,3669.979,2657.55,3349.75,0,76.7162,0,0,Random Vehicle
10,1204.43,5175.235,4544.151,5213.2,2,61.24655,0,0,Random Vehicle
24,1220.243,4659.383,3836.772,4683.495,1,70.30546,0,0,Random Vehicle
